row_id,video_file,camera_file,frame_count,experiment,experiment_id,experiment_chr,experiment_num,ms4_block_flag,ms4_target_experiment,experiment_type,is_control,is_target_species,culture,well,days_from_start,species,site,season,collection_site,toxin_exposure,particle_type,particle_class,size_class,lux_exposure,ntu,cu_ug_l,bw_ug_l,mass_loading_ug_l,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,tile,tile_count,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,collection_date,release,year,preparation,comment,species_std,qc_recalc_total_cells,qc_recalc_motility_ratio,flag_missing_response_counts,flag_total_cell_count_le_zero,flag_inconsistent_count_totals,flag_missing_key_predictor,flag_unexpected_frame_count,flag_impossible_date_sequences,flag_negative_mobile_count,flag_negative_stationary_count,flag_negative_ntu,flag_negative_lux,flag_negative_mass_loading,qc_n_flags,qc_any_flag,qc_flag_reason,qc_flag_reason_pretty,exclude_missing_response_counts,exclude_total_cell_count_le_zero,exclude_missing_key_predictor,exclude_negative_mobile_count,exclude_negative_stationary_count,exclude_inconsistent_count_totals,exclude_unexpected_frame_count,exclude_impossible_date_sequences,exclude_negative_ntu,exclude_negative_lux,exclude_negative_mass_loading,exclusion_flag,exclusion_reason,exclusion_reason_pretty
11,C1480,20240918_C1480_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24024,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,398,758,1156,0.34429065743944637,glass,817,NA,NA,NA,NA,2024,NA,done out of order,Laminaria digitata,1156,0.34429065743944637,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
12,C1481,20240918_C1481_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24011,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,21479,21672,43151,0.49776366712243053,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,43151,0.49776366712243053,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
13,C1482,20240918_C1482_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24012,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,606,620,1226,0.49429037520391517,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,1226,0.49429037520391517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
14,C1483,20240918_C1483_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24013,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,15285,24944,40229,0.37994978746675284,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,40229,0.37994978746675284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
15,C1484,20240918_C1484_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24014,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,9040,7819,16859,0.5362121122249244,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,16859,0.5362121122249244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
16,C1485,20240918_C1485_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24015,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,15598,12179,27777,0.5615437232242503,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,27777,0.5615437232242503,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
17,C1486,20240918_C1486_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24016,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,353,819,1172,0.30119453924914674,none,NA,NA,NA,NA,NA,2024,NA,control,Laminaria digitata,1172,0.30119453924914674,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
18,C1487,20240918_C1487_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24021,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,318,369,687,0.462882096069869,glass,662,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,687,0.462882096069869,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
19,C1488,20240918_C1488_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24022,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,3656,2676,6332,0.5773847125710676,glass,346,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,6332,0.5773847125710676,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
20,C1489,20240918_C1489_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24023,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,128,337,465,0.2752688172043011,glass,806,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,465,0.2752688172043011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
21,C1490,20240918_C1490_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24025,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,1461,3114,4575,0.31934426229508195,glass,934,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,4575,0.31934426229508195,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
22,C1491,20240918_C1491_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24026,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,223,566,789,0.2826362484157161,glass,1464,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,789,0.2826362484157161,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
23,C1492,20240918_C1492_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24031,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,1073,1234,2307,0.46510619852622453,stone,2738,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,2307,0.46510619852622453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
24,C1493,20240918_C1493_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24032,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,804,985,1789,0.4494130799329234,stone,4353,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,1789,0.4494130799329234,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
25,C1494,20240918_C1494_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24033,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,175,365,540,0.32407407407407407,stone,993,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,540,0.32407407407407407,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
26,C1495,20240918_C1495_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24034,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,5595,6888,12483,0.4482095650084114,glass,445,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,12483,0.4482095650084114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
27,C1496,20240918_C1496_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24035,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,6042,9274,15316,0.39448942282580307,glass,740,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,15316,0.39448942282580307,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
28,C1497,20240918_C1497_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24036,6,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,472,959,1431,0.32983927323549966,glass,517,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,1431,0.32983927323549966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
29,C1498,20240920_C1498_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24011,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,2912,4206,7118,0.40910368080921605,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,7118,0.40910368080921605,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
30,C1499,20240920_C1499_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24012,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,5829,8641,14470,0.40283344851416725,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,14470,0.40283344851416725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
31,C1500,20240920_C1500_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24013,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,1712,1566,3278,0.5222696766320928,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,3278,0.5222696766320928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
32,C1501,20240920_C1501_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24014,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,6924,5943,12867,0.5381207740732106,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,12867,0.5381207740732106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
33,C1502,20240920_C1502_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24015,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,6206,8288,14494,0.4281771767627984,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,14494,0.4281771767627984,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
34,C1506,20240920_C1506_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24016,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,1817,3344,5161,0.3520635535748886,none,NA,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,5161,0.3520635535748886,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
35,C1508,20240920_C1508_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24022,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,801,1369,2170,0.36912442396313366,glass,346,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,2170,0.36912442396313366,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
36,C1509,20240920_C1509_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24021,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,7060,9306,16366,0.43138213369180006,glass,662,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,16366,0.43138213369180006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
37,C1510,20240920_C1510_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24023,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,882,1706,2588,0.3408037094281298,glass,806,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,2588,0.3408037094281298,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
38,C1511,20240920_C1511_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24024,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,215,553,768,0.2799479166666667,glass,817,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,768,0.2799479166666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
39,C1512,20240920_C1512_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24025,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,10165,15752,25917,0.392213604969711,glass,934,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,25917,0.392213604969711,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
40,C1515,20240920_C1515_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24026,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,188,449,637,0.29513343799058084,glass,1464,NA,NA,NA,NA,2024,NA,NA,Laminaria digitata,637,0.29513343799058084,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
41,C1518,20240920_C1518_clip.mp4,504,6.2,NA,6.2,6.2,FALSE,NA,NA,TRUE,TRUE,38,24031,8,L. digitata,DV,Summer,Dover,CONTROL,NA,NA,NA,0,0,0,0,NA,7285,18273,25558,0.28503795289146255,stone,2738,NA,NA,NA,NA,2024,NA,clumping,Laminaria digitata,25558,0.28503795289146255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
